No,	Ar_name, Ar_transliteration,	Pronunciation,	Meaning(En)
0, الله,(allāh),    ‎ IPA(key): /aɫ.ɫaːh/,	God
1,	 اَلرَّحْمَـٰن‎ ,(ar-raḥmān)	,IPA(key): /ar.raħ.maːn/,	The ِBeneficient / The All-Compassionate / The Most Gracious
2,	اَلرَّحِيم‎ ,(ar-raḥīm)	,IPA(key): /ar.ra.ħiːm/,	The Most Merciful / The Ever-Merciful / The Merciful / The Most Clement
3,	اَلْمَلِك‎ ,(al-malik)	,IPA(key): /al.ma.lik/,	The King/ The Lord / The Sovereign/ The Dominion / The Master
4,	اَلْقُدُّوس‎ ,(al-quddūs)	,IPA(key): /al.qud.duːs/,	The Holy/ The All-Holy / The All-Pure/ The Sacred/ The All-Sacred
5,	اَلسَّلَام‎ ,(as-salām)	,IPA(key): /as.sa.laːm/,	The Giver of Peace / The Peace / The All-Calm / The Ever-Tranquil
6,	اَلْمُؤْمِن‎ ,(al-muʾmin)	,IPA(key): /al.muʔ.min/,	The Granter of Security / The Giver / The Faith / The Supreme Believer / The Giver of Belief/ The All-Assurer
7,	اَلْمُهَيْمِن‎ ,(al-muhaymin)	,IPA(key): /al.mu.haj.min/,	The Controller / The Absolute Authority Over All / The Guardian Over All / The Protector / The Absolute Master / The Eternal Dominating
8,	اَلْعَزِيز‎ ,(al-ʿazīz)	,IPA(key): /al.ʕa.ziːz/,	The Exalted in Might and Power / The Exalted / The Powerful / The Almighty / The Mighty
9,	اَلْجَبَّار‎ ,(al-jabbār)	,IPA(key): /al.d͡ʒab.baːr/,	The Omnipotent / The Supreme Power / The Possessor of Having All Power / The Strong / The Compleller
10,	اَلْمُتَكَبِّر‎ ,(al-mutakabbir)	,IPA(key): /al.mu.ta.kab.bir/,	The Possessor of Greatness / The Supreme / The Justly Proud / The Majestic
11,	اَلْخَالِق‎ ,(al-ḵāliq)	,IPA(key): /al.xaː.liq/,	The Creator / The Creator of the Universe / The Maker / The True Originator / The Absolute Author
12,	اَلْبَارِئ‎ ,(al-bāriʾ)	,IPA(key): /al.baː.riʔ/,	The Initiator / The Evolver / The Eternal Spirit Worshipped By All / Have Absolute Power Over All Matters / Nature and Events
13,	اَلْمُصَوِّر‎ ,(al-muṣawwir)	,IPA(key): /al.mu.sˤaw.wir/,	The Fashioner / The Shaper / The Designer / The Artist
14,	اَلْغَفَّار‎ ,(al-ḡaffār)	,IPA(key): /al.ɣaf.faːr/,	The Repeatedly Forgiving / The Absolute Forgiver / The Pardoner / The Condoner
15,	اَلْقَهَّار‎ ,(al-qahhār)	,IPA(key): /al.qah.haːr/,	The Subduer / The Overcomer / The Conqueror / The Absolute Vanquisher
16,	اَلْوَهَّاب‎ ,(al-wahhāb)	,IPA(key): /al.wah.haːb/,	The Absolute Bestower / The Giver / The Grantor / The Great Donor
17,	اَلرَّزَّاق‎ ,(ar-razzāq)	,IPA(key): /ar.raz.zaːq/,	The Provider / The Sustainer / The Bestower of Sustenance / The All-Provider
18,	اَلْفَتَّاح‎ ,(al-fattāḥ)	,IPA(key): /al.fat.taːħ/,	The Opener / The Opener of the Gates of Profits / The Reliever / The Victory Giver
19,	اَلْعَلِيم‎ ,(al-ʿalīm)	,IPA(key): /al.ʕa.liːm/,	The Knowing / The All-Knower / The Omniscient / The All-Knowledgeable / The Possessor of Knowing Much of Ever Thing/ The All-Knowing
20,	اَلْقَابِض‎ ,(al-qābiḍ)	,IPA(key): /al.qaː.bidˤ/,	The Restrainer / The Constrictor / The Withholder / The Straightener / The Absolute Seizer
21,	اَلْبَاسِط‎ ,(al-bāsiṭ)	,IPA(key): /al.baː.sitˤ/,	The Extender / The Expander / The Generous Provider
22,	اَلْخَافِض‎ ,(al-ḵāfiḍ)	,IPA(key): /al.xaː.fidˤ/,	The Abaser / The Humiliator / The Downgrader
23,	اَلرَّافِع‎ ,(ar-rāfiʿ)	,IPA(key): /ar.raː.fiʕ/,	The Exalter / The Upgrader
24,	اَلْمُعِزّ‎ ,(al-muʿizz)	,IPA(key): /al.mu.ʕizz/,	The Giver of Honor / The Bestower of Honor / The Empowerer
25,	اَلْمُذِلّ‎ ,(al-muḏill)	,IPA(key): /al.mu.ðill/,	The Giver of Dishonor / The Giver of Disgrace
26,	اَلسَّمِيع‎ ,(as-samīʿ)	,IPA(key): /as.sa.miːʕ/,	The Hearing / The All-Hearing / The Hearer of Invocation
27,	اَلْبَصِير‎ ,(al-baṣīr)	,IPA(key): /al.ba.sˤiːr/,	The All-Seeing / The All-Seer / The Ever-Clairvoyant / The Clear-Sighted / The Clear-Seeing
28,	اَلْحَكَم‎ ,(al-ḥakam)	,IPA(key): /al.ħa.kam/,	The Judge / The Arbitrator / The Arbiter / The All-Decree / The Possessor of Authority of Decisions and Judgment
29,	اَلْعَدْل‎ ,(al-ʿadl)	,IPA(key): /al.ʕadl/,	The Just / The Authorized and Straightforward Judge of Dealing Justly
30,	اَللَّطِيف‎ ,(al-laṭīf)	,IPA(key): /al.la.tˤiːf/,	The Gentle / The Benignant / The Subtly Kind / The All-Subtle
31,	اَلْخَبِير‎ ,(al-ḵabīr)	,IPA(key): /al.xa.biːr/,	The All-Aware / The Well-Acquainted / The Ever-Adept
32,	اَلْحَلِيم‎ ,(al-ḥalīm)	,IPA(key): /al.ħa.liːm/,	The Forbearing / The Indulgent / The Oft Forbearing / The All-Enduring
33,	اَلْعَظِيم‎ ,(al-ʿaẓīm)	,IPA(key): /al.ʕa.ðˤiːm/,	The Most Great / The Ever-Magnificent / The Most Supreme / The Exalted / The Absolute Dignified
34,	اَلْغَفُور‎ ,(al-ḡafūr)	,IPA(key): /al.ɣa.fuːr/,	The Ever-Forgiving / The Oft-Forgiving
35,	اَلشَّكُور‎ ,(aš-šakūr)	,IPA(key): /aʃ.ʃa.kuːr/,	The Grateful / The Appreciative / The Multiplier of Rewards
36,	اَلْعَلِيّ‎ ,(al-ʿaliyy)	,IPA(key): /al.ʕa.lijj/,	The Sublime / The Ever-Exalted / The Supreme / The Most High / The Most Lofty
37,	اَلْكَبِير‎ ,(al-kabīr)	,IPA(key): /al.ka.biːr/,	The Great/ The Ever-Great / The Grand / The Most Great / The Greatly Abundant of Extent / Capacity and Importance
38,	اَلْحَفِيظ‎ ,(al-ḥafīẓ)	,IPA(key): /al.ħa.fiːðˤ/,	The Preserver / The Ever-Preserving / The All-Watching / The Protector / The Guardian / The Oft-Conservator
39,	اَلْمُقِيت‎ ,(al-muqīt)	,IPA(key): /al.mu.qiːt/,	The Nourisher / The Feeder
40,	اَلْحَسِيب‎ ,(al-ḥasīb)	,IPA(key): /al.ħa.siːb/,	The Bringer of Judgment / The Ever-Reckoner
41,	اَلْجَلِيل‎ ,(al-jalīl)	,IPA(key): /al.d͡ʒa.liːl/,	The Majestic / The Exalted / The Oft-Important / The Splendid / The Sublime
42,	اَلْكَرِيم‎ ,(al-karīm)	,IPA(key): /al.ka.riːm/,	The Noble / The Bountiful / The Generous / The Precious / The Honored / The Benefactor
43,	اَلرَّقِيب‎ ,(ar-raqīb)	,IPA(key): /ar.ra.qiːb/,	The Watchful / The Observer / The Ever-Watchful / The Watcher
44,	اَلْمُجِيب‎ ,(al-mujīb)	,IPA(key): /al.mu.d͡ʒiːb/,	The Responsive / The Answerer / The Supreme Answerer / The Accepter of Invocation
45,	اَلْوَاسِع‎ ,(al-wāsiʿ)	,IPA(key): /al.waː.siʕ/,	The Vast / The All-Embracing / The Omnipresent / The Boundless / The All-Encompassing
46,	اَلْحَكِيم‎ ,(al-ḥakīm)	,IPA(key): /al.ħa.kiːm/,	The Wise / The Ever-Wise / The Endowed with Sound Judgment
47,	اَلْوَدُود‎ ,(al-wadūd)	,IPA(key): /al.wa.duːd/,	The Affectionate / The Ever-Affectionate / The Loving One / The Loving / The Lover / The One Who Tenders and Warms Hearts
48,	اَلْمَجِيد‎ ,(al-majīd)	,IPA(key): /al.ma.d͡ʒiːd/,	The All-Glorious / The Majestic / The Ever-Illustrious
49,	اَلْبَاعِث‎ ,(al-bāʿiṯ)	,IPA(key): /al.baː.ʕiθ/,	The Resurrector / The Awakener / The Arouser / The Dispatcher
50,	اَلشَّهِيد‎ ,(aš-šahīd)	,IPA(key): /aʃ.ʃa.hiːd/,	The Witness / The Testifier / The Ever-Witnessing
51,	اَلْحَقّ‎ ,(al-ḥaqq)	,IPA(key): /al.ħaqq/,	The Truth/ The Reality / The Only One Certainly Sound and Genuine in Truth
52,	اَلْوَكِيل‎ ,(al-wakīl)	,IPA(key): /al.wa.kiːl/,	The Trustee / The Dependable / The Advocate
53,	اَلْقَوِيّ‎ ,(al-qawiyy)	,IPA(key): /al.qa.wijj/,	The Strong
54,	اَلْمَتِين‎ ,(al-matīn)	,IPA(key): /al.ma.tiːn/,	The Firm / The Steadfast
55,	اَلْوَلِيّ‎ ,(al-waliyy)	,IPA(key): /al.wa.lijj/,	The Friend/ The Helper
56,	اَلْحَمِيد‎ ,(al-ḥamīd)	,IPA(key): /al.ħa.miːd/,	The All-Praiseworthy
57,	اَلْمُحْصِي‎ ,(al-muḥṣī)	,IPA(key): /al.muħ.sˤiː/,	The Accounter / The Numberer of All
58,	اَلْمُبْدِئ‎ ,(al-mubdiʾ)	,IPA(key): /al.mub.diʔ/,	The Originator / The Producer / The Initiator
59,	اَلْمُعِيد‎ ,(al-muʿīd)	,IPA(key): /al.mu.ʕiːd/,	The Restorer / The Reinstater Who Brings Back All
60,	اَلْمُحْيِي‎ ,(al-muḥyī)	,IPA(key): /al.muħ.jiː/,	The Giver of Life
61,	اَلْمُمِيت‎ ,(al-mumīt)	,IPA(key): /al.mu.miːt/,	The Bringer of Death
62,	اَلْحَيّ‎ ,(al-ḥayy)	,IPA(key): /al.ħajj/,	The Living
63,	اَلْقَيُّوم‎ ,(al-qayyūm)	,IPA(key): /al.qaj.juːm/,	The Subsisting / The Independent
64,	اَلْوَاجِد‎ ,(al-wājid)	,IPA(key): /al.waː.d͡ʒid/,	The Preceiver / The Finder / The Unfailing
65,	اَلْمَاجِد‎ ,(al-mājid)	,IPA(key): /al.maː.d͡ʒid/,	The Illustrious / The Magnificent / The Noble
66,	اَلْوَاحِد‎ ,(al-wāḥid)	,IPA(key): /al.waː.ħid/,	The Unique / The Single
67,	اَلْأَحَد‎ ,(al-ʾaḥad)	,IPA(key): /al.ʔa.ħad/,	The One/ The Indivisible
68,	اَلصَّمَد‎ ,(aṣ-ṣamad)	,IPA(key): /asˤ.sˤa.mad/,	The Eternal / The Absolute / The Self-Sufficient
69,	اَلْقَادِر‎ ,(al-qādir)	,IPA(key): /al.qaː.dir/,	The All-Powerful / He Who is able to do Everything
70,	اَلْمُقْتَدِر‎ ,(al-muqtadir)	,IPA(key): /al.muq.ta.dir/,	The Determiner / The Dominant
71,	اَلْمُقَدِّم‎ ,(al-muqaddim)	,IPA(key): /al.mu.qad.dim/,	The Expediter / He Who Brings Forward
72,	اَلْمُؤَخِّر‎ ,(al-muʾaḵḵir)	,IPA(key): /al.mu.ʔax.xir/,	The Delayer / He Who Puts Far Away
73,	اَلْأَوَّل‎ ,(al-ʾawwal)	,IPA(key): /al.ʔaw.wal/,	The First / The Beginning-less
74,	اَلْأَخِر‎ ,(al-ʾaḵir)	,IPA(key): /al.ʔa.xir/,	The Last / The Endless
74,	 اَلْآخِر‎ ,(al-ʾāḵir)	,IPA(key): /al.ʔaː.xir/,	The Last / The Endless
75,	اَلظَّاهِر‎ ,(aẓ-ẓāhir)	,IPA(key): /aðˤ.ðˤaː.hir/,	The Manifest / The Evident / The Outer
76,	اَلْبَاطِن‎ ,(al-bāṭin)	,IPA(key): /al.baː.tˤin/,	The Hidden / The Unmanifest / The Inner
77,	اَلْوَالِي‎ ,(al-wālī)	,IPA(key): /al.waː.liː/,	The Patron/ The Protecting Friend / The Friendly Lord
78,	اَلْمُتَعَالِي‎ ,(al-mutaʿālī)	,IPA(key): /al.mu.ta.ʕaː.liː/,	The Supremely Exalted / The Most High
79,	اَلْبَرّ‎ ,(al-barr)	,IPA(key): /al.barr/,	The Good/ The Beneficent / The Source of All Goodness
80,	اَلتَّوَّاب‎ ,(at-tawwāb)	,IPA(key): /at.taw.waːb/,	The Ever-Returning / Ever-Relenting / The Acceptor of Repentance
81,	اَلْمُنْتَقِم‎ ,(al-muntaqim)	,IPA(key): /al.mun.ta.qim/,	The Avenger
82,	اَلْعَفُوّ‎ ,(al-ʿafuww)	,IPA(key): /al.ʕa.fuww/,	The Pardoner / The Effacer / The Forgiver
83,	اَلرَّؤُوف‎ ,(ar-raʾūf)	,IPA(key): /ar.ra.ʔuːf/,	The Kind / The Pitying / The Compassionate
84,	مَالِك الْمُلْك‎ ,(mālik al-mulk)	,IPA(key): /maː.lik al.mulk/,	The Owner of all Sovereignty
85,	ذُو ٱلْجَلَالِ وَٱلْإِكْرَام‎ ,(ḏū l-jalāli wal-ʾikrām)	,IPA(key): /ðu‿l.d͡ʒa.laː.li wal.ʔik.raːm/,	The Owner / Lord of Majesty and Honour
86,	اَلْمُقْسِط‎ ,(al-muqsiṭ)	,IPA(key): /al.muq.sitˤ/,	The Equitable / The Requiter
87,	اَلْجَامِع‎ ,(al-jāmiʿ)	,IPA(key): /al.d͡ʒaː.miʕ/,	The Gatherer / The Unifier
88,	اَلْغَنِيّ‎ ,(al-ḡaniyy)	,IPA(key): /al.ɣa.nijj/,	The Rich/ The Independent / The Self-Sufficient
89,	اَلْمُغْنِي‎ ,(al-muḡnī)	,IPA(key): /al.muɣ.niː/,	The Enricher / The Emancipator
90,	اَلْمَانِع‎ ,(al-māniʿ)	,IPA(key): /al.maː.niʕ/,	The Preventer / The Withholder / The Shielder / The Defender
91,	اَلضَّار‎ ,(aḍ-ḍār)	,IPA(key): /adˤ.dˤaːr/,	The Distressor / The Harmer / The Afflictor
92,	اَلنَّافِع‎ ,(an-nāfiʿ)	,IPA(key): /an.naː.fiʕ/,	The Propitious / The Benefactor / The Source of Good
93,	اَلنُّور‎ ,(an-nūr)	,IPA(key): /an.nuːr/,	The Light
94,	اَلْهَادِي‎ ,(al-hādī)	,IPA(key): /al.haː.diː/,	The Guide / The Way
95,	اَلْبَدِيع‎ ,(al-badīʿ)	,IPA(key): /al.ba.diːʕ/,	The Originator / The Incomparable/ The Unattainable/ The Beautiful
96,	اَلْبَاقِي‎ ,(al-bāqī)	,IPA(key): /al.baː.qiː/,	The Immutable / The Infinite/ The Everlasting
97,	اَلْوَارِث‎ ,(al-wāriṯ)	,IPA(key): /al.waː.riθ/,	The Heir / The Inheritor of All
98,	اَلرَّشِيد‎ ,(ar-rašīd)	,IPA(key): /ar.ra.ʃiːd/,	The Guide to the Right Path
99,	اَلصَّبُور‎ ,(aṣ-ṣabūr)	,IPA(key): /asˤ.sˤa.buːr/, The Timeless/ The Patient
XX,	اَلْجَمِيل‎ ,(al-jamīl)	,IPA(key): /al.d͡ʒa.miːl/,	The Beautiful
XX,	اَلْكَافِي‎ ,(al-kāfī)	,IPA(key): /al.kaː.fiː/,	The All-sufficient
XX,	اَلْمَنَّان‎ ,(al-mannān)	,IPA(key): /al.man.naːn/,	The Benevolent
XX,	اَلنَّاصِر‎ ,(an-nāṣir)	,IPA(key): /an.naː.sˤir/,	The Helper / The Protector
XX,	اَلْقَاهِر‎ ,(al-qāhir)	,IPA(key): /al.qaː.hir/,	The Subduer / The Conqueror
XX,	اَلرَّبّ‎ ,(ar-rabb)	,IPA(key): /ar.rabb/,	The Lord
XX,	اَلسَّتَّار‎ ,(as-sattār)	,IPA(key): /as.sat.taːr/,	The Veiler of Sin / The one Who Covers Sins
XX,	اَلسُّلْطَان‎ ,(as-sulṭān)	,IPA(key): /as.sul.tˤaːn/,	The Sovereign / The Ruler
